bangumiTitle	aliasJp	aliasSearch
漫研部	あいまいみー	漫研部,漫研社,あいまいみー
漫研部~妄想突变~	あいまいみー～妄想カタストロフ～	漫研部,漫研社,あいまいみー,あいまいみー 妄想カタストロフ
幕末摇滚	幕末Rock	幕末摇滚,幕末ロック
网球并不可笑嘛 第一季	てーきゅう	女高网球部,てーきゅう,网球并不可笑嘛 第一季
网球并不可笑嘛 第二季	てーきゅう 2期	てーきゅう 第2期,网球并不可笑嘛
网球并不可笑嘛 第三季	てーきゅう 3期	女高网球部,てーきゅう 3期,网球并不可笑嘛
STRANGE+ 第一季	ストレンジ・プラス	ストレンジ・プラス
STRANGE+ 第二季	真 ストレンジ・プラス	真ストレンジ・プラス (第2期),STRANGE+ 第二季
FRANCESCA	フランチェスカ	法兰雀丝卡,フランチェスカ
人生	人生相談テレビアニメーション「人生」	人生,人生咨询电视动画,人生相談テレビアニメーション
斩·赤红之瞳！	アカメが斬る!	斩·赤红之瞳！,アカメが斬る!
DRAMAtical Murder	DRAMAtical Murder	DMMD,DRAMATICALMURDER,戏剧性谋杀,ドラマダ
青春之旅	アオハライド	青春之旅,アオハライド,闪烁的青春
荷包蛋的蛋黄什么时候戳破才好？	目玉焼きの黄身 いつつぶす?	荷包蛋的蛋黄什么时候戳破才好？,目玉焼きの黄身 いつつぶす？,何时捣碎煎蛋黄？
每度！浦安铁筋家族	毎度!浦安鉄筋家族	浦安铁筋家族,毎度!浦安鉄筋家族,元气！抓狂一族
KERORO军曹 前作		ケロロ军曹,青蛙军曹
迷你偶像	ぷちます! -プチ・アイドルマスター-	小小偶像大师,迷你偶像大师,迷你偶像
复仇者联盟		复仇者,AVENGERS
犬神同学和猫山同学	犬神さんと猫山さん	犬神さんと猫山さん,犬神同学和猫山同学
剑灵	ブレイドアンドソウル	BLADE & SOUL
我们大家的河合庄	僕らはみんな河合荘	仆らはみんな河合荘,BrainsBase
忍者神龟 第一季		TMNT
忍者神龟 第二季		TMNT
宝石宠物 第二季		宝石宠物 TWINKLE☆,宝石宠物 SUNSHINE,宝石宠物 KIRA☆DECO！,宝石宠物 HAPPINES
宝石宠物 第三季		宝石宠物 TWINKLE☆,宝石宠物 SUNSHINE,宝石宠物 KIRA☆DECO！,宝石宠物 HAPPINES
魔法科高校的劣等生	魔法科高校の劣等生	魔法科高校的劣等生,魔劣
游☆戏☆王 GX 	遊☆戯☆王 デュエルモンスターズGX	游戏王,YU-GI-OH!,遊戯王,游☆戏☆王,游戏王 GX,遊☆戯☆王 デュエルモンスターズ GX,打牌王
游☆戏☆王 ZEXAL	遊☆戯☆王 ZEXAL	游戏王,YU-GI-OH!,遊戯王,游☆戏☆王,游戏王 ZEXAL,遊☆戯☆王ゼアル,打牌王
罗德岛战记 本篇		ロードス島戦記,罗德斯岛战记
罗德岛战记 -英雄骑士传-		ロードス島戦記-英雄騎士伝-,英雄骑士传
罗德岛战记 享用罗德岛战记		ロードス島戦記,罗德斯岛战记
金色琴弦～primo passo～	金色のコルダ〜primo passo〜	金色のコルダ
金色琴弦～Secondo Passo～	金色のコルダ〜secondo passo〜	金色のコルダ
众神的恶作剧	神々の悪戯	神々の悪戯,诸神的恶作剧,BrainsBase
一周的朋友。	一週間フレンズ。	一週間フレンズ。,一周的朋友,BrainsBase
